Rótulos de Linha;cu Média de CPU(milicores);du Média de CPU(milicores);ru Média de CPU(milicores);cu DesvPad de CPU(milicores);du DesvPad de CPU(milicores);ru DesvPad de CPU(milicores);cu Média de MEMORY(Mi);du Média de MEMORY(Mi);ru Média de MEMORY(Mi);cu DesvPad de MEMORY(Mi);du DesvPad de MEMORY(Mi);ru DesvPad de MEMORY(Mi);Total Média de CPU(milicores);Total DesvPad de CPU(milicores);Total Média de MEMORY(Mi);Total DesvPad de MEMORY(Mi)
230;94.49591837;97.11632653;100.8306122;179.4910237;178.2576796;188.093638;103.6204082;184.9653061;4.944897959;39.9990643;174.4132109;15.21539369;97.48095238;181.8946855;97.84353741;127.1118781
235;94.49591837;97.11632653;100.8306122;179.4910237;178.2576796;188.093638;103.6204082;184.9653061;4.944897959;39.9990643;174.4132109;15.21539369;97.48095238;181.8946855;97.84353741;127.1118781
240;74.22653061;77.59591837;79.25918367;162.1898068;160.1307364;169.2504955;108.4244898;199.5938776;7.06122449;34.69256464;175.1450242;19.8024065;77.02721088;163.8053206;105.0265306;130.1177818
245;74.22653061;77.59591837;79.25918367;162.1898068;160.1307364;169.2504955;108.4244898;199.5938776;7.06122449;34.69256464;175.1450242;19.8024065;77.02721088;163.8053206;105.0265306;130.1177818
250;57.65306122;69.34489796;66.55102041;144.0428746;143.9967813;154.0119855;111.1591837;217.9346939;11.30408163;30.96767837;176.3105059;26.01162599;64.51632653;147.4098058;113.4659864;134.2225421
255;33.3877551;54.14693878;36.0877551;109.2792181;117.1492103;105.0773717;116.4367347;251.2306122;14.64897959;21.03306088;169.054286;29.65940346;41.20748299;110.9235864;127.4387755;139.1005484
260;20.99795918;50.02244898;30.4244898;82.92538591;103.4478298;88.74998437;118.7959184;271.6163265;19.71020408;14.07325211;164.0718947;33.49373011;33.81496599;92.84167361;136.707483;141.9301888
265;20.99795918;50.02244898;30.4244898;82.92538591;103.4478298;88.74998437;118.7959184;271.6163265;19.71020408;14.07325211;164.0718947;33.49373011;33.81496599;92.84167361;136.707483;141.9301888
270;15.53265306;52.73061224;25.79387755;74.83549754;103.3886036;77.34820455;118.8061224;292.0918367;22.06938776;14.07448646;153.4322847;35.00609473;31.35238095;87.52269944;144.322449;144.2095262
275;13;65.25102041;24.02040816;71.30636113;113.3903092;64.07651031;118.8204082;314.1306122;26.38979592;14.0762019;139.7180746;37.18814566;34.09047619;88.57382596;153.1136054;146.3606427
280;12.41020408;76.45102041;25.63265306;70.98478406;120.9460605;63.19110945;118.8367347;332.6979592;30.26122449;14.07828963;123.7216126;38.51615238;38.16462585;92.94342014;160.5986395;147.5901847
285;11.03061224;103.7428571;30.95306122;69.94266628;135.8522113;63.42413984;118.8612245;359.5897959;36.38571429;14.08116723;91.27246956;40.02223564;48.5755102;103.4408146;171.6122449;148.9516371
290;11.03061224;103.7428571;30.95306122;69.94266628;135.8522113;63.42413984;118.8612245;359.5897959;36.38571429;14.08116723;91.27246956;40.02223564;48.5755102;103.4408146;171.6122449;148.9516371
295;11.00816327;115.8367347;33.17346939;69.94604943;140.4183855;63.59795522;118.8734694;366.3142857;38.56326531;14.0825898;82.62779778;40.26909837;53.33945578;107.5858282;174.5836735;149.4891715
300;11.00816327;115.8367347;33.17346939;69.94604943;140.4183855;63.59795522;118.8734694;366.3142857;38.56326531;14.0825898;82.62779778;40.26909837;53.33945578;107.5858282;174.5836735;149.4891715
305;10.99183673;129.4;35.01428571;69.94850527;147.1665556;63.53713147;118.8755102;368.355102;40.56938776;14.08282585;83.09179161;40.39245462;58.46870748;113.1177211;175.9333333;149.8524336
310;0.095918367;131.5;29.44285714;0.294780209;141.5440598;31.9813628;120.7020408;385.4;44.97755102;0.504576113;40.53536415;40.31767395;53.67959184;100.9126161;183.6931973;149.6701721
315;0.091836735;137.7571429;30.52857143;0.289090482;142.7951047;31.93968306;120.4632653;387.3102041;47.39387755;5.296107066;40.34206624;39.99020794;56.12585034;103.0329037;185.0557823;149.8040368
320;0.073469388;150.6591837;32.29183673;0.261172056;147.9084728;32.13835337;120.4612245;388.4163265;49.1877551;5.295706341;40.37905948;39.69239409;61.00816327;108.7231917;186.0217687;149.7313621
